trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.99, 'e': 0.99}",20,0,-44.2567496142101,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
2,False,"{'a': 0.99, 'e': 0.9801}",25,0,-224.17894858650328,"{0: 9, 1: 3, 2: 8, 3: 3, 4: 2}",0
3,False,"{'a': 0.99, 'e': 0.970299}",25,0,-167.95802247529625,"{0: 14, 1: 1, 2: 6, 3: 2, 4: 2}",0
4,False,"{'a': 0.99, 'e': 0.96059601}",20,0,-144.29771527032784,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
5,False,"{'a': 0.99, 'e': 0.9509900498999999}",25,0,-93.20784499692655,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
6,False,"{'a': 0.99, 'e': 0.941480149401}",20,0,-134.36997104486497,"{0: 8, 1: 4, 2: 6, 3: 1, 4: 1}",0
7,False,"{'a': 0.99, 'e': 0.9320653479069899}",20,0,-59.34075638870459,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
8,False,"{'a': 0.99, 'e': 0.9227446944279201}",20,0,-188.8072915072843,"{0: 7, 1: 3, 2: 6, 3: 2, 4: 2}",0
9,False,"{'a': 0.99, 'e': 0.9135172474836408}",20,0,-164.5056142865542,"{0: 8, 1: 1, 2: 9, 3: 0, 4: 2}",0
10,False,"{'a': 0.99, 'e': 0.9043820750088044}",30,0,-91.89901967334413,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
11,False,"{'a': 0.99, 'e': 0.8953382542587164}",25,1,-91.12900884830594,"{0: 17, 1: 0, 2: 3, 3: 4, 4: 0}",1
12,False,"{'a': 0.99, 'e': 0.8863848717161292}",25,0,-108.61080984368711,"{0: 12, 1: 4, 2: 7, 3: 2, 4: 0}",0
13,False,"{'a': 0.99, 'e': 0.8775210229989678}",30,0,-52.70337505341968,"{0: 20, 1: 5, 2: 5, 3: 0, 4: 0}",0
14,False,"{'a': 0.99, 'e': 0.8687458127689782}",20,0,-37.3664356329884,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
15,False,"{'a': 0.99, 'e': 0.8600583546412884}",20,0,-118.14709923225888,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
16,False,"{'a': 0.99, 'e': 0.8514577710948755}",20,0,-152.91510005986254,"{0: 8, 1: 4, 2: 4, 3: 3, 4: 1}",0
17,False,"{'a': 0.99, 'e': 0.8429431933839268}",20,0,-77.7304602165533,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
18,False,"{'a': 0.99, 'e': 0.8345137614500875}",35,0,-118.34372537549051,"{0: 25, 1: 2, 2: 4, 3: 3, 4: 1}",0
19,False,"{'a': 0.99, 'e': 0.8261686238355866}",30,0,-97.11460818351702,"{0: 18, 1: 4, 2: 6, 3: 2, 4: 0}",0
20,False,"{'a': 0.99, 'e': 0.8179069375972308}",20,0,-151.21793447648827,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
21,False,"{'a': 0.99, 'e': 0.8097278682212584}",20,0,-94.97944687927301,"{0: 14, 1: 1, 2: 1, 3: 3, 4: 1}",0
22,False,"{'a': 0.99, 'e': 0.8016305895390459}",20,0,-71.17934273975607,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
23,False,"{'a': 0.99, 'e': 0.7936142836436554}",25,0,-101.02494577099749,"{0: 16, 1: 4, 2: 2, 3: 2, 4: 1}",0
24,False,"{'a': 0.99, 'e': 0.7856781408072188}",20,0,-49.923889865895724,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
25,False,"{'a': 0.99, 'e': 0.7778213593991467}",20,0,-53.580800138257715,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
26,False,"{'a': 0.99, 'e': 0.7700431458051551}",20,0,-198.65355724401266,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 4}",0
27,False,"{'a': 0.99, 'e': 0.7623427143471035}",25,0,-120.20634548310936,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
28,False,"{'a': 0.99, 'e': 0.7547192872036326}",25,0,-52.8847541941707,"{0: 19, 1: 1, 2: 3, 3: 2, 4: 0}",0
29,False,"{'a': 0.99, 'e': 0.7471720943315961}",20,10,-66.18998278635137,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 2}",1
30,False,"{'a': 0.99, 'e': 0.7397003733882802}",30,0,-62.067261430481864,"{0: 19, 1: 4, 2: 7, 3: 0, 4: 0}",0
31,False,"{'a': 0.99, 'e': 0.7323033696543975}",20,0,-150.69734546984785,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
32,False,"{'a': 0.99, 'e': 0.7249803359578534}",20,0,-93.33092975373775,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
33,False,"{'a': 0.99, 'e': 0.7177305325982749}",20,0,-33.86126823145064,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
