trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,-80,-517.8497024400716,"{0: 58, 1: 11, 2: 29, 3: 1, 4: 6}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,-84,-779.9775826860713,"{0: 59, 1: 9, 2: 19, 3: 2, 4: 15}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,-91,-556.2448256533903,"{0: 69, 1: 18, 2: 24, 3: 4, 4: 6}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,-100,-871.9710832551335,"{0: 63, 1: 25, 2: 16, 3: 8, 4: 13}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,-100,-551.7964736072547,"{0: 69, 1: 16, 2: 30, 3: 7, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,-100,-670.0862829241962,"{0: 66, 1: 22, 2: 18, 3: 5, 4: 9}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,-100,-519.0885542388434,"{0: 70, 1: 25, 2: 26, 3: 6, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,-100,-572.7455365107518,"{0: 67, 1: 22, 2: 26, 3: 5, 4: 5}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,-100,-626.0833659180358,"{0: 74, 1: 16, 2: 18, 3: 1, 4: 11}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,-100,-443.8037213354941,"{0: 81, 1: 12, 2: 22, 3: 6, 4: 4}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,-100,-599.9587186963213,"{0: 75, 1: 13, 2: 19, 3: 4, 4: 9}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,-29,-322.939452156766,"{0: 27, 1: 8, 2: 14, 3: 1, 4: 4}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,-85,-651.4298741971878,"{0: 63, 1: 13, 2: 21, 3: 3, 4: 10}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,11,-3.536648489065538,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 1.0}",30,-100,-528.2382128597894,"{0: 81, 1: 18, 2: 21, 3: 3, 4: 7}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,-100,-679.7089561492651,"{0: 73, 1: 13, 2: 18, 3: 5, 4: 11}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,-67,-295.52948214871554,"{0: 68, 1: 5, 2: 10, 3: 5, 4: 4}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,-100,-593.9901605625291,"{0: 70, 1: 18, 2: 26, 3: 5, 4: 6}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,-66,-449.4869681745773,"{0: 54, 1: 9, 2: 12, 3: 4, 4: 7}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,-100,-672.6458772285828,"{0: 63, 1: 22, 2: 22, 3: 4, 4: 9}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,-100,-756.3205512020323,"{0: 69, 1: 19, 2: 14, 3: 5, 4: 13}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,-100,-517.4375974558451,"{0: 69, 1: 18, 2: 22, 3: 7, 4: 4}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,-21,-138.72126459188343,"{0: 24, 1: 6, 2: 10, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,-83,-469.60811847646454,"{0: 57, 1: 18, 2: 21, 3: 2, 4: 5}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,-100,-592.2499745178515,"{0: 77, 1: 10, 2: 27, 3: 3, 4: 8}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,-49,-394.360245831705,"{0: 43, 1: 9, 2: 15, 3: 1, 4: 6}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,-100,-882.5512326432975,"{0: 75, 1: 14, 2: 19, 3: 8, 4: 14}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,-100,-511.9332731104714,"{0: 79, 1: 11, 2: 18, 3: 5, 4: 7}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,-100,-675.3376780719134,"{0: 76, 1: 11, 2: 24, 3: 4, 4: 10}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,-14,-305.00756910217666,"{0: 22, 1: 7, 2: 10, 3: 0, 4: 5}",0
